x,y
-1.360531,-0.017078
-1.360531,-0.034156
-1.370019,0.000000
-1.370019,0.005693
-1.360531,-0.013283
-1.360531,-0.018975
-1.360531,-0.011385
-1.360531,-0.009488
-1.360531,-0.022770
-1.360531,-0.015180
-1.360531,-0.007590
-1.360531,-0.005693
-1.360531,-0.003795
-1.360531,-0.001898
-1.360531,0.000000
-1.360531,0.001898
-1.360531,0.003795
-1.360531,0.007590
-1.360531,0.009488
-1.362429,0.020873
-1.360531,0.011385
-1.360531,0.013283
-1.360531,0.015180
-1.360531,0.018975
-1.360531,0.017078
-1.360531,0.020873
-1.360531,0.022770
-1.360531,0.024668
-1.360531,0.028463
-1.360531,0.026565
-1.360531,0.036053
-1.360531,0.034156
-1.358634,-0.036053
-1.358634,-0.030361
-1.358634,-0.017078
-1.360531,-0.026565
-1.362429,0.009488
-1.360531,-0.020873
-1.360531,-0.028463
-1.358634,-0.026565
-1.358634,-0.024668
-1.358634,-0.013283
-1.360531,0.005693
-1.358634,-0.009488
-1.358634,-0.005693
-1.358634,-0.015180
-1.358634,-0.020873
-1.358634,-0.003795
-1.358634,-0.001898
-1.358634,-0.034156
-1.358634,0.000000
-1.358634,0.001898
-1.358634,0.003795
-1.358634,0.007590
-1.358634,0.011385
-1.358634,-0.028463
-1.358634,0.013283
-1.358634,0.017078
-1.358634,-0.011385
-1.358634,0.015180
-1.358634,0.018975
-1.358634,0.020873
-1.358634,0.022770
-1.358634,0.024668
-1.358634,0.026565
-1.358634,0.034156
-1.358634,0.030361
-1.358634,-0.007590
-1.358634,0.036053
-1.356736,-0.032258
-1.356736,-0.018975
-1.356736,-0.026565
-1.358634,0.005693
-1.358634,0.009488
-1.358634,-0.022770
-1.356736,-0.028463
-1.356736,-0.015180
-1.356736,-0.013283
-1.366224,-0.005693
-1.356736,-0.011385
-1.356736,-0.009488
-1.356736,-0.024668
-1.356736,-0.007590
-1.356736,-0.005693
-1.356736,-0.034156
-1.356736,-0.003795
-1.356736,-0.001898
-1.356736,0.000000
-1.356736,0.001898
-1.356736,0.005693
-1.356736,0.003795
-1.356736,0.007590
-1.356736,0.009488
-1.356736,0.013283
-1.356736,0.015180
-1.356736,-0.017078
-1.356736,0.020873
-1.356736,0.022770
-1.356736,-0.030361
-1.356736,0.017078
-1.356736,0.024668
-1.356736,0.026565
-1.356736,0.028463
-1.356736,0.030361
-1.356736,0.032258
-1.356736,0.034156
-1.354839,-0.037951
-1.354839,-0.030361
-1.354839,-0.034156
-1.354839,-0.022770
-1.356736,-0.022770
-1.356736,0.011385
-1.354839,-0.026565
-1.354839,-0.024668
-1.354839,-0.032258
-1.354839,-0.036053
-1.354839,-0.018975
-1.354839,-0.017078
-1.354839,-0.015180
-1.354839,-0.011385
-1.358634,0.028463
-1.354839,-0.009488
-1.354839,-0.005693
-1.354839,0.000000
-1.354839,-0.001898
-1.354839,0.001898
-1.354839,-0.028463
-1.354839,-0.007590
-1.354839,0.003795
-1.354839,0.007590
-1.354839,0.005693
-1.354839,0.013283
-1.354839,0.009488
-1.354839,0.017078
-1.354839,0.020873
-1.354839,-0.020873
-1.354839,0.022770
-1.354839,0.011385
-1.354839,0.015180
-1.354839,0.026565
-1.354839,0.028463
-1.354839,-0.013283
-1.354839,0.030361
-1.354839,0.032258
-1.354839,0.034156
-1.354839,0.037951
-1.354839,-0.003795
-1.352941,-0.034156
-1.352941,-0.037951
-1.352941,-0.024668
-1.352941,-0.022770
-1.354839,0.018975
-1.352941,-0.030361
-1.352941,-0.039848
-1.352941,-0.032258
-1.352941,-0.036053
-1.352941,-0.020873
-1.352941,-0.017078
-1.352941,-0.013283
-1.352941,-0.018975
-1.352941,-0.015180
-1.352941,-0.026565
-1.352941,-0.009488
-1.352941,-0.011385
-1.352941,-0.007590
-1.352941,-0.005693
-1.352941,-0.003795
-1.352941,-0.001898
-1.352941,0.000000
-1.352941,0.001898
-1.352941,0.007590
-1.352941,0.017078
-1.352941,0.018975
-1.352941,0.005693
-1.352941,0.009488
-1.352941,0.011385
-1.352941,0.020873
-1.352941,0.003795
-1.352941,0.024668
-1.356736,0.018975
-1.352941,0.013283
-1.354839,0.036053
-1.352941,0.015180
-1.352941,0.030361
-1.352941,0.032258
-1.352941,0.034156
-1.352941,0.036053
-1.352941,0.039848
-1.352941,0.022770
-1.352941,0.026565
-1.351044,-0.041746
-1.351044,-0.055028
-1.351044,-0.036053
-1.352941,0.028463
-1.351044,-0.032258
-1.354839,0.024668
-1.351044,-0.026565
-1.351044,-0.024668
-1.351044,-0.030361
-1.351044,-0.022770
-1.351044,-0.020873
-1.351044,-0.034156
-1.351044,-0.018975
-1.351044,-0.015180
-1.351044,-0.039848
-1.351044,-0.013283
-1.351044,-0.037951
-1.351044,-0.017078
-1.351044,-0.009488
-1.351044,-0.007590
-1.351044,-0.005693
-1.351044,-0.003795
-1.351044,-0.001898
-1.351044,0.000000
-1.351044,0.001898
-1.351044,0.005693
-1.351044,0.003795
-1.352941,-0.028463
-1.351044,0.013283
-1.351044,0.011385
-1.351044,0.007590
-1.351044,0.015180
-1.351044,0.017078
-1.351044,0.009488
-1.351044,0.022770
-1.351044,-0.028463
-1.351044,0.024668
-1.351044,0.018975
-1.351044,0.030361
-1.351044,0.020873
-1.351044,0.032258
-1.351044,0.034156
-1.351044,0.036053
-1.351044,0.037951
-1.351044,0.041746
-1.351044,0.039848
-1.351044,0.055028
-1.349146,-0.056926
-1.349146,-0.053131
-1.349146,-0.051233
-1.349146,-0.039848
-1.349146,-0.036053
-1.349146,-0.034156
-1.351044,0.026565
-1.351044,0.028463
-1.351044,-0.011385
-1.349146,-0.037951
-1.349146,-0.030361
-1.349146,-0.028463
-1.349146,-0.026565
-1.349146,-0.024668
-1.349146,-0.017078
-1.349146,-0.022770
-1.349146,-0.020873
-1.349146,-0.055028
-1.349146,-0.013283
-1.349146,-0.011385
-1.349146,-0.009488
-1.349146,-0.015180
-1.349146,-0.003795
-1.349146,-0.007590
-1.349146,-0.001898
-1.349146,0.000000
-1.349146,-0.041746
-1.349146,0.001898
-1.349146,0.003795
-1.349146,0.007590
-1.349146,0.009488
-1.349146,-0.005693
-1.349146,0.011385
-1.349146,0.013283
-1.349146,0.017078
-1.349146,0.015180
-1.349146,0.020873
-1.349146,-0.032258
-1.349146,0.024668
-1.349146,0.028463
-1.349146,-0.018975
-1.349146,0.030361
-1.349146,0.005693
-1.349146,0.032258
-1.349146,0.036053
-1.349146,0.037951
-1.349146,0.022770
-1.349146,0.039848
-1.349146,0.041746
-1.349146,0.051233
-1.349146,0.056926
-1.349146,0.055028
-1.349146,0.034156
-1.347249,-0.062619
-1.347249,-0.058824
-1.347249,-0.060721
-1.347249,-0.043643
-1.347249,-0.039848
-1.349146,0.053131
-1.352941,0.037951
-1.347249,-0.051233
-1.347249,-0.037951
-1.347249,-0.036053
-1.347249,-0.055028
-1.347249,-0.056926
-1.347249,-0.034156
-1.347249,-0.032258
-1.347249,-0.030361
-1.347249,-0.028463
-1.347249,-0.026565
-1.347249,-0.024668
-1.347249,-0.022770
-1.347249,-0.020873
-1.347249,-0.018975
-1.347249,-0.017078
-1.347249,-0.015180
-1.347249,-0.013283
-1.347249,-0.011385
-1.347249,-0.009488
-1.347249,-0.007590
-1.347249,-0.003795
-1.347249,-0.001898
-1.347249,0.000000
-1.347249,-0.041746
-1.347249,0.005693
-1.347249,-0.005693
-1.349146,0.026565
-1.349146,0.018975
-1.347249,0.011385
-1.347249,0.001898
-1.347249,0.013283
-1.347249,0.015180
-1.347249,0.017078
-1.347249,0.018975
-1.347249,0.020873
-1.347249,0.022770
-1.347249,0.026565
-1.347249,0.032258
-1.347249,0.028463
-1.347249,0.009488
-1.347249,0.036053
-1.347249,-0.053131
-1.347249,0.039848
-1.347249,0.007590
-1.347249,0.041746
-1.347249,0.034156
-1.347249,0.024668
-1.347249,0.051233
-1.347249,0.053131
-1.347249,0.055028
-1.347249,0.056926
-1.347249,0.058824
-1.347249,0.062619
-1.347249,0.060721
-1.345351,-0.056926
-1.345351,-0.060721
-1.345351,-0.043643
-1.345351,-0.053131
-1.347249,0.037951
-1.347249,0.030361
-1.345351,-0.041746
-1.345351,-0.039848
-1.345351,-0.045541
-1.345351,-0.036053
-1.345351,-0.058824
-1.345351,-0.034156
-1.347249,0.043643
-1.345351,-0.030361
-1.347249,0.003795
-1.345351,-0.028463
-1.345351,-0.024668
-1.345351,-0.022770
-1.345351,-0.051233
-1.345351,-0.020873
-1.358634,-0.018975
-1.345351,-0.018975
-1.345351,-0.017078
-1.345351,-0.015180
-1.345351,-0.013283
-1.345351,-0.011385
-1.345351,-0.032258
-1.345351,-0.007590
-1.345351,-0.003795
